crc32,name,filename,size,type,load_type,status,notes
6F4B8245,Dep,Dep (198x) (PD).k7,658,k7,LOAD,not_tested,
97EB412F,Depart,Depart (198x) (PD).k7,3203,k7,LOAD,not_tested,
14D6B9F9,Departge,Departge (1986) (Ecole Jules Ferry) (PD).k7,3485,k7,LOAD,not_tested,
239EDA82,Deper,Deper (198x) (PD).k7,658,k7,LOAD,not_tested,
8A1E85D1,Desassembleur Dump & Patch v4.0,Desassembleur Dump & Patch v4.0 (1986) (Daniel Coulom) (DCDASM4.GET) (PD).k7,3056,k7,unknown,not_tested,
CC2F2CB8,Desassembleur Dump & Patch v4.0,Desassembleur Dump & Patch v4.0 (1986) (Daniel Coulom) (DCDASM4.USR) (PD).k7,5152,k7,unknown,not_tested,
7E95D100,Desassembleur Dump & Patch v4.0,Desassembleur Dump & Patch v4.0 (1986) (Daniel Coulom) (PD) [a1].k7,16384,k7,unknown,not_tested,
85A6BB97,Desassembleur Dump & Patch v4.0,Desassembleur Dump & Patch v4.0 (1986) (Daniel Coulom) (PD).mo5,16384,cartridge,cartridge,not_tested,
0C8EA976,Destruc,Destruc (198x) (PD).k7,684,k7,LOAD,not_tested,
7F0A32B4,Devant Derriere,Devant Derriere (198x) (CNDP).k7,19942,k7,LOAD,not_tested,
93A30388,Devin,Devin (1984) (CNDP).k7,7513,k7,LOAD,not_tested,
B01F54CC,Dialogue avec une sauterelle,Dialogue avec une sauterelle (1983) (Nathan Ecoles).k7,18068,k7,LOAD,not_tested,
FB724D6D,Diamant and Fractions,Diamant and Fractions (1986) (Christopher Lesur).k7,47564,k7,unknown,not_tested,
38F4D036,"Dianne, Mission Rubidiums","Dianne, Mission Rubidiums (1985) (Loriciels).k7",34587,k7,LOAD,not_tested,
9C3E5DCD,"Dieux du Stade, Les","Dieux du Stade, Les (1985) (Infogrames).k7",32768,k7,LOADM,not_tested,
D63D11E9,Divisibilite,Divisibilite (198x) (CDDP).k7,5869,k7,LOAD,not_tested,
EEA631E2,"Division, Les","Division, Les (198x) (Nathan Ecoles).k7",17174,k7,unknown,not_tested,
C2A4F6DD,Dossier Boerhaave,Dossier Boerhaave (1986) (Infogrames).k7,66662,k7,LOAD,not_tested,
D3EE417E,Dribble,Dribble (1985) (FIL).k7,11481,k7,LOAD,not_tested,
E80A25DC,Duel au Colorado,Duel au Colorado (198x) (Chip).k7,35669,k7,LOAD,not_tested,
0E22D2DB,Dump,Dump (198x) (PD).k7,1642,k7,LOAD,not_tested,
7A58F536,Echecs v3.7,Echecs v3.7 (198x) (Cobra Soft).k7,14919,k7,unknown,not_tested,
D87ADB2C,Electricite,Electricite (1984).k7,32798,k7,LOAD,not_tested,
D13B3235,Eliminator,Eliminator (1984) (Loriciels) [a1].k7,9478,k7,LOAD,not_tested,
5779C7B7,Eliminator,Eliminator (1984) (Loriciels) [b1].k7,10752,k7,LOADM,not_tested,
